epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.01,1.26056,4.18295,1.48619,0.77958,0.11842,0.16587,0.10736,1.06917,3.41188,1.37163,0.000103638,0.000103638,0.000103638
2,154,1.25163,3.58492,1.45603,0.51114,0.34495,0.3638,0.24863,1.15448,2.44202,1.49738,0.000205912,0.000205912,0.000205912
3,235.844,1.32598,2.82729,1.50734,0.59544,0.58731,0.60824,0.4039,1.23832,1.89991,1.55004,0.000306121,0.000306121,0.000306121
4,319.728,1.32321,2.35042,1.49131,0.67725,0.68807,0.72503,0.47069,1.21246,1.54699,1.4999,0.000303704,0.000303704,0.000303704
5,408.614,1.29072,2.10663,1.45922,0.68767,0.71151,0.74299,0.49293,1.19817,1.45089,1.44728,0.000300605,0.000300605,0.000300605
6,501.592,1.26848,1.9056,1.42463,0.69815,0.74395,0.77067,0.51863,1.17282,1.29555,1.44731,0.000297507,0.000297507,0.000297507
7,598.275,1.25321,1.82392,1.42209,0.66106,0.76672,0.78139,0.52129,1.16243,1.22947,1.392,0.000294408,0.000294408,0.000294408
8,696.634,1.2334,1.69741,1.39342,0.70936,0.75098,0.76571,0.51088,1.19954,1.18519,1.43667,0.000291309,0.000291309,0.000291309
9,796.579,1.21949,1.6476,1.38356,0.74958,0.80668,0.82542,0.5609,1.14515,1.06824,1.38971,0.00028821,0.00028821,0.00028821
10,898.306,1.20123,1.54951,1.37152,0.72615,0.8105,0.81092,0.5418,1.18218,1.07769,1.41345,0.000285112,0.000285112,0.000285112
11,1000.11,1.19473,1.50069,1.3633,0.77598,0.81061,0.82559,0.56286,1.12675,1.08192,1.38616,0.000282013,0.000282013,0.000282013
12,1102.33,1.20401,1.4744,1.36016,0.73677,0.82409,0.82516,0.57087,1.14201,1.02894,1.38074,0.000278914,0.000278914,0.000278914
13,1203.76,1.17821,1.424,1.34216,0.71769,0.79552,0.79317,0.54142,1.14788,1.12527,1.39825,0.000275816,0.000275816,0.000275816
14,1305.13,1.17009,1.36651,1.34522,0.76813,0.81159,0.83227,0.56277,1.1665,1.02418,1.39904,0.000272717,0.000272717,0.000272717
15,1404.68,1.16882,1.32135,1.33317,0.75718,0.84002,0.82674,0.56662,1.16383,0.98706,1.3897,0.000269618,0.000269618,0.000269618
16,1501.48,1.14655,1.30504,1.32619,0.76131,0.82976,0.84157,0.57726,1.14176,0.99081,1.37314,0.00026652,0.00026652,0.00026652
17,1598.58,1.14813,1.28209,1.31546,0.74708,0.85299,0.83872,0.58309,1.11216,0.99236,1.35926,0.000263421,0.000263421,0.000263421
18,1694.53,1.14912,1.25207,1.3226,0.76397,0.83034,0.82731,0.57434,1.11446,0.96735,1.35572,0.000260322,0.000260322,0.000260322
19,1790.79,1.13802,1.20494,1.30725,0.76689,0.86349,0.84842,0.57368,1.15262,0.94721,1.37386,0.000257223,0.000257223,0.000257223
20,1887.27,1.12732,1.1842,1.29795,0.79741,0.85381,0.86087,0.59032,1.14226,0.90563,1.34997,0.000254125,0.000254125,0.000254125
21,1983.4,1.12742,1.1546,1.30078,0.76862,0.855,0.85684,0.59327,1.11136,0.94213,1.34471,0.000251026,0.000251026,0.000251026
22,2080.46,1.10839,1.1548,1.29183,0.80643,0.84044,0.85131,0.59775,1.12884,0.93538,1.34636,0.000247927,0.000247927,0.000247927
